[tuimon] frame 79ms | push:13 wait:2 snap:44 encode:21 | 85KB
[tuimon] frame 65ms | push:16 wait:1 snap:47 encode:2 | 85KB
[tuimon] frame 163ms | push:83 wait:1 snap:54 encode:25 | 84KB
[tuimon] frame 75ms | push:17 wait:1 snap:40 encode:16 | 85KB
[tuimon] frame 73ms | push:16 wait:2 snap:36 encode:18 | 85KB
[tuimon] frame 69ms | push:13 wait:2 snap:37 encode:18 | 85KB
[tuimon] frame 49ms | push:15 wait:2 snap:31 encode:1 | 85KB
[tuimon] frame 67ms | push:14 wait:2 snap:35 encode:17 | 85KB
[tuimon] frame 84ms | push:20 wait:1 snap:41 encode:21 | 85KB
[tuimon] frame 62ms | push:12 wait:2 snap:46 encode:2 | 85KB
[tuimon] frame 72ms | push:13 wait:2 snap:43 encode:15 | 85KB
[tuimon] frame 101ms | push:16 wait:1 snap:39 encode:45 | 83KB
[tuimon] frame 57ms | push:14 wait:0 snap:41 encode:2 | 85KB
[tuimon] frame 57ms | push:15 wait:1 snap:39 encode:2 | 84KB
[tuimon] frame 55ms | push:13 wait:2 snap:38 encode:2 | 84KB
[tuimon] frame 53ms | push:12 wait:0 snap:38 encode:2 | 84KB
[tuimon] frame 66ms | push:13 wait:2 snap:35 encode:16 | 84KB
[tuimon] frame 74ms | push:17 wait:0 snap:38 encode:18 | 84KB
[tuimon] frame 57ms | push:13 wait:1 snap:42 encode:1 | 84KB
[tuimon] frame 72ms | push:14 wait:2 snap:36 encode:20 | 84KB
[tuimon] frame 69ms | push:13 wait:0 snap:34 encode:22 | 85KB
[tuimon] frame 66ms | push:12 wait:1 snap:32 encode:21 | 85KB
[tuimon] frame 67ms | push:13 wait:2 snap:37 encode:16 | 83KB
[tuimon] frame 89ms | push:13 wait:2 snap:35 encode:40 | 84KB
[tuimon] frame 71ms | push:12 wait:2 snap:37 encode:20 | 85KB
[tuimon] frame 49ms | push:13 wait:2 snap:33 encode:1 | 84KB
[tuimon] frame 61ms | push:18 wait:1 snap:40 encode:2 | 83KB
[tuimon] frame 57ms | push:16 wait:1 snap:38 encode:3 | 84KB
[tuimon] frame 66ms | push:11 wait:1 snap:39 encode:15 | 84KB
[tuimon] frame 70ms | push:12 wait:2 snap:35 encode:21 | 85KB
[tuimon] frame 52ms | push:12 wait:2 snap:37 encode:2 | 83KB
[tuimon] frame 68ms | push:11 wait:2 snap:33 encode:22 | 85KB
[tuimon] frame 63ms | push:13 wait:2 snap:33 encode:16 | 84KB
[tuimon] frame 69ms | push:13 wait:2 snap:34 encode:21 | 85KB
[tuimon] frame 63ms | push:12 wait:2 snap:34 encode:16 | 85KB
[tuimon] frame 71ms | push:12 wait:2 snap:37 encode:21 | 85KB
[tuimon] frame 61ms | push:13 wait:2 snap:44 encode:2 | 84KB
[tuimon] frame 67ms | push:12 wait:2 snap:33 encode:21 | 85KB
[tuimon] frame 48ms | push:11 wait:2 snap:33 encode:3 | 86KB
[tuimon] frame 71ms | push:12 wait:2 snap:42 encode:16 | 85KB
[tuimon] frame 73ms | push:13 wait:2 snap:42 encode:16 | 85KB
[tuimon] frame 58ms | push:13 wait:1 snap:43 encode:2 | 84KB
[tuimon] frame 55ms | push:11 wait:1 snap:41 encode:1 | 85KB
[tuimon] frame 69ms | push:14 wait:2 snap:39 encode:15 | 85KB
[tuimon] frame 74ms | push:15 wait:0 snap:37 encode:21 | 86KB
[tuimon] frame 69ms | push:11 wait:0 snap:38 encode:19 | 87KB
[tuimon] frame 67ms | push:12 wait:2 snap:33 encode:20 | 85KB
[tuimon] frame 64ms | push:12 wait:2 snap:35 encode:16 | 85KB
[tuimon] frame 63ms | push:12 wait:2 snap:34 encode:15 | 85KB
[tuimon] frame 67ms | push:13 wait:2 snap:33 encode:20 | 85KB
[tuimon] frame 61ms | push:13 wait:1 snap:45 encode:2 | 86KB
[tuimon] frame 77ms | push:12 wait:1 snap:44 encode:21 | 84KB
[tuimon] frame 69ms | push:11 wait:2 snap:41 encode:15 | 86KB
[tuimon] frame 55ms | push:13 wait:2 snap:39 encode:2 | 86KB
[tuimon] frame 67ms | push:15 wait:1 snap:37 encode:15 | 86KB
[tuimon] frame 52ms | push:13 wait:0 snap:37 encode:2 | 84KB
[tuimon] frame 71ms | push:12 wait:2 snap:34 encode:24 | 85KB
[tuimon] frame 49ms | push:12 wait:2 snap:33 encode:2 | 83KB
[tuimon] frame 46ms | push:11 wait:2 snap:32 encode:2 | 83KB
[tuimon] frame 76ms | push:11 wait:0 snap:42 encode:22 | 84KB
[tuimon] frame 53ms | push:13 wait:2 snap:37 encode:1 | 84KB
[tuimon] frame 50ms | push:12 wait:0 snap:35 encode:2 | 84KB
[tuimon] frame 60ms | push:11 wait:2 snap:32 encode:15 | 82KB
[tuimon] frame 59ms | push:12 wait:0 snap:44 encode:3 | 82KB
[tuimon] frame 56ms | push:12 wait:1 snap:42 encode:2 | 82KB
[tuimon] frame 58ms | push:14 wait:2 snap:41 encode:2 | 83KB
[tuimon] frame 67ms | push:22 wait:0 snap:43 encode:1 | 82KB
[tuimon] frame 70ms | push:12 wait:0 snap:36 encode:22 | 83KB
[tuimon] frame 50ms | push:12 wait:0 snap:35 encode:2 | 84KB
[tuimon] frame 55ms | push:17 wait:1 snap:35 encode:2 | 84KB
[tuimon] frame 48ms | push:12 wait:1 snap:33 encode:1 | 83KB
[tuimon] frame 69ms | push:11 wait:2 snap:33 encode:22 | 85KB
[tuimon] frame 60ms | push:13 wait:1 snap:44 encode:2 | 84KB
[tuimon] frame 60ms | push:13 wait:2 snap:43 encode:2 | 85KB
[tuimon] frame 69ms | push:15 wait:1 snap:52 encode:1 | 84KB
[tuimon] frame 59ms | push:12 wait:1 snap:45 encode:1 | 84KB
[tuimon] frame 77ms | push:13 wait:2 snap:40 encode:21 | 84KB
[tuimon] frame 76ms | push:12 wait:1 snap:40 encode:23 | 84KB
[tuimon] frame 62ms | push:12 wait:2 snap:47 encode:2 | 85KB
[tuimon] frame 123ms | push:12 wait:2 snap:36 encode:74 | 85KB
[tuimon] frame 52ms | push:13 wait:1 snap:36 encode:2 | 85KB
[tuimon] frame 52ms | push:14 wait:1 snap:35 encode:2 | 85KB
[tuimon] frame 70ms | push:13 wait:2 snap:34 encode:22 | 85KB
[tuimon] frame 86ms | push:17 wait:0 snap:44 encode:25 | 85KB
[tuimon] frame 63ms | push:15 wait:0 snap:46 encode:1 | 84KB
[tuimon] frame 78ms | push:14 wait:0 snap:47 encode:17 | 85KB
[tuimon] frame 60ms | push:12 wait:0 snap:45 encode:2 | 85KB
[tuimon] frame 94ms | push:22 wait:2 snap:69 encode:1 | 85KB
[tuimon] frame 104ms | push:14 wait:2 snap:43 encode:45 | 86KB
[tuimon] frame 71ms | push:13 wait:0 snap:41 encode:16 | 86KB
[tuimon] frame 70ms | push:14 wait:0 snap:40 encode:16 | 86KB
[tuimon] frame 56ms | push:12 wait:1 snap:41 encode:3 | 86KB
[tuimon] frame 68ms | push:12 wait:2 snap:38 encode:16 | 86KB
[tuimon] frame 77ms | push:12 wait:1 snap:40 encode:23 | 86KB
[tuimon] frame 85ms | push:13 wait:1 snap:54 encode:16 | 87KB
[tuimon] frame 83ms | push:12 wait:2 snap:54 encode:16 | 85KB
[tuimon] frame 53ms | push:13 wait:2 snap:38 encode:1 | 85KB
[tuimon] frame 69ms | push:12 wait:1 snap:35 encode:21 | 87KB
[tuimon] frame 73ms | push:11 wait:1 snap:39 encode:21 | 85KB
[tuimon] frame 78ms | push:15 wait:0 snap:41 encode:21 | 85KB
[tuimon] frame 97ms | push:13 wait:1 snap:44 encode:39 | 86KB
[tuimon] frame 88ms | push:13 wait:2 snap:46 encode:27 | 84KB
[tuimon] frame 95ms | push:18 wait:1 snap:54 encode:21 | 84KB
[tuimon] frame 100ms | push:19 wait:2 snap:63 encode:16 | 85KB
[tuimon] frame 111ms | push:20 wait:2 snap:87 encode:2 | 86KB
[tuimon] frame 76ms | push:24 wait:1 snap:35 encode:16 | 86KB
[tuimon] frame 130ms | push:16 wait:1 snap:46 encode:67 | 87KB
[tuimon] frame 75ms | push:14 wait:1 snap:37 encode:23 | 86KB
[tuimon] frame 78ms | push:29 wait:1 snap:46 encode:2 | 86KB
[tuimon] frame 75ms | push:18 wait:0 snap:39 encode:17 | 85KB
[tuimon] frame 54ms | push:13 wait:2 snap:37 encode:2 | 84KB
[tuimon] frame 67ms | push:26 wait:1 snap:38 encode:1 | 85KB
[tuimon] frame 67ms | push:13 wait:0 snap:35 encode:19 | 85KB
[tuimon] frame 63ms | push:13 wait:0 snap:34 encode:16 | 85KB
